train_number,train_name,station_name,departure,source,destination
54502,Bhiwani Delhi Passenger,Bhiwani,05:05:00,NA,NA
12780,DELHI H NIZAMUDDIN - VASCO DA GAMA Goa Exp,DELHI H NIZAMUDDIN,15:05:00,NA,NA
54270,Varanasi Mughal Sarai Passenger,VARANASI JN,18:25:00,NA,NA
12619,MUMBAI LTT - MANGALORE CENT Matsyagandha Exp,LOKMANYA TILAK TERM,15:20:00,NA,NA
54294,Lucknow Partapgarh Passenger,LUCKNOW,13:45:00,NA,NA
12428,DELHI ANAND VIHAR - REWA SF Exp,ANAND VIHAR TRM,00:20:00,NA,NA
56518,Harihar Chitradurga Passenger,HARIHAR,07:10:00,NA,NA
15651,GUWAHATI - JAMMU TAWI Lohit Exp,GUWAHATI,13:15:00,NA,NA
56240,Birur Shimoga Passenger,BIRUR JN,17:45:00,NA,NA
12635,CHENNAI EGMORE - MADURAI Vaigai SF Exp,CHENNAI EGMORE,12:45:00,NA,NA
4012,H. Nizamuddin - Sainagar Shirdi (Weekly) Special,DELHI H NIZAMUDDIN,00:20:00,NA,NA
12667,CHENNAI EGMORE - NAGERCOIL SF Exp,CHENNAI EGMORE,18:50:00,NA,NA
15036,Uttarakhand Sampark Kranti Express,KATHGODAM,08:50:00,NA,NA
15640,GUWAHATI - PURI Exp,GUWAHATI,18:45:00,NA,NA
23154,Gour Express,BALURGHAT,17:05:00,Balurghat,Sealdah
15902,DIBRUGARH - BENGALURU CITY Weekly Exp,DIBRUGARH,18:30:00,NA,NA
54557,Ambala Patiala Passenger,AMBALA CANT JN,07:40:00,NA,NA
